num,category,method_name,description,output_pattern
1,Nucleo,Primeros principios,"Saca los supuestos heredados y reconstrui la seccion desde verdades fundamentales. Pregunta que es lo minimo que sabemos seguro de este problema y arma la solucion sobre eso, sin copiar como lo hacen otros.",supuestos -> verdades base -> reconstruccion
2,Nucleo,Que asumimos sin querer,"Lista en voz alta cada cosa que estamos dando por sentado en esta seccion (el usuario tiene internet, los datos vienen limpios, hay un solo idioma, nadie carga 10.000 filas) y marca cuales no estan confirmadas.",supuesto oculto -> es seguro? -> que confirmar
3,Nucleo,5 Por Que,"Pregunta por que repetidamente (hasta 5 veces) sobre la decision de la seccion hasta llegar a la causa raiz real del requisito, no al sintoma de superficie.",sintoma -> por que -> por que -> causa raiz
4,Nucleo,Preguntas socraticas,"Hace preguntas que revelan supuestos ocultos y guian el descubrimiento sin afirmar nada. Saca a la luz lo que se da por sentado para que vos lo decidas con los ojos abiertos.",pregunta -> supuesto revelado -> implicancia
5,Nucleo,Criticar y refinar,"Revisa la seccion buscando fortalezas y debilidades concretas y propone una version mejorada con los cambios marcados, sin reescribir todo de cero.",fortalezas -> debilidades -> version mejorada
6,Nucleo,Pensamiento de segundo orden,"Anticipa las consecuencias en cascada de la decision mas alla de lo inmediato. Pregunta y despues que pasa, y despues de eso que pasa.",decision -> efecto directo -> efecto en cascada
7,Framing,Replantear la pregunta,"Cuestiona si el problema enunciado en la seccion es el problema real. Quiza estamos resolviendo lo equivocado o atacando un sintoma en vez de la causa.",problema enunciado -> es el real? -> problema reformulado
8,Framing,Recorre el proceso real del usuario,"Segui paso a paso el camino concreto que hace una persona de verdad para completar la tarea (clic por clic, pantalla por pantalla) y detecta donde se traba, se confunde o tiene que salir de la app.",paso a paso real -> friccion -> arreglo
9,Riesgo,Inversion,"Da vuelta el problema: en vez de como hago que esto funcione, pregunta que garantizaria el fracaso de esta seccion y despues evita activamente esos caminos.",objetivo invertido -> modos de fracaso -> que evitar
10,Riesgo,Pre-mortem,"Imagina que dentro de 6 meses esta seccion fracaso feo. Trabaja hacia atras: que salio mal, que senales habia, y que hacemos hoy para que no pase.",fracaso futuro -> causas -> prevencion ahora
11,Riesgo,Que pasa si se cae X,"Elegi una dependencia critica (el ERP, internet, el servicio de pagos, la base de datos) y pregunta que ve y que puede hacer el usuario cuando eso no responde. Define el plan B.",dependencia -> se cae -> que ve el usuario / plan B
12,Riesgo,El peor usuario malicioso,"Ponete en la piel de alguien que quiere romper o abusar esta seccion: mete datos basura, salta validaciones, accede a lo que no le toca, repite acciones. Encontra los agujeros antes que el.",vector de ataque -> que logra -> como se tapa
13,Riesgo,Abogado del diablo (red-team),"Atacar la seccion adrede buscando todas las razones por las que es una mala idea o por las que va a fallar, y recien despues decidir cuales objeciones son validas y como blindarla.",tesis -> ataques -> objeciones validas -> defensa
14,Riesgo,Auditoria de supuestos,"Lista cada supuesto de la seccion y puntua cada uno por confianza (alta/media/baja) e impacto si esta equivocado. Los de baja confianza y alto impacto son los que hay que confirmar ya.",lista de supuestos -> confianza x impacto -> los riesgosos
15,Negocio,Stakeholders olvidados,"Pregunta a quien mas le pega esta seccion ademas del usuario obvio: el admin que configura, el de soporte que recibe el reclamo, el de finanzas que audita, el cliente externo, el que llega nuevo. Que necesita cada uno.",actor olvidado -> que necesita -> que falta agregar
16,Negocio,Mesa de roles del producto,"Reune personas distintas (jefe de producto, dev, diseno, usuario final) y que cada una opine sobre la seccion desde su angulo para que choquen las perspectivas y aparezca lo que una sola no ve.",roles -> perspectivas -> consenso
17,Simplicidad,Simplificar (YAGNI),"Busca la version mas simple que igual resuelve el dolor principal. Saca toda feature, opcion o caso que no se necesita hoy y dejalo anotado como posible futuro, no construido.",version actual -> que sobra -> version minima
18,Tecnico,Barrido de casos limite,"Prueba mentalmente los extremos de la seccion: cero registros, valores nulos, listas vacias, maximos enormes, tipos que no matchean, fallos de red, datos basura, dos usuarios a la vez.",caso normal -> extremos -> que pasa en cada uno
